title,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,kecamatan,biaya_masuk,biaya_parkir_motor,biaya_parkir_mobil,normalized_rating,normalized_reviews,score
Bukit Beta Tuk-tuk,https://www.google.com/maps/place/Bukit+Beta+Tuk-tuk/data=!4m7!3m6!1s0x3031e9fa043cf24d:0xfb8ed278d029a861!8m2!3d2.6610216!4d98.846906!16s%2Fg%2F11c5_62xh7!19sChIJTfI8BPrpMTARYagp0HjSjvs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPUCd5J1RRHVmM-SVgWjgVWFSMFdMljc6PW3531=w204-h92-k-no,4.6,400,"tuk tuk danau, Toba, South Siantar, Pematang Siantar City, North Sumatra",Open 24 hours,2.6610216,98.846906,Alam,"Pemandangan, Santai, Fotografi, Camping","Bukit Beta Tuk-tuk adalah bukit berumput hijau yang terletak di dekat kawasan Tuk-tuk Siadong di Pulau Samosir, Kabupaten Samosir. Bukit ini menawarkan pemandangan panorama Danau Toba yang luas dan menakjubkan dengan latar perbukitan di sekitarnya. Dikenal dengan suasananya yang tenang dan udara segar, Bukit Beta menjadi lokasi favorit untuk menikmati matahari terbit atau terbenam, berfoto, piknik, bersantai, dan berkemah sambil menikmati keindahan alam Danau Toba dari ketinggian.",Simanindo,0,5000,10000,0.6923076923076921,0.08037872683319904,0.5087290026653442
Batu Passa Liang sipogu,https://www.google.com/maps/place/Batu+Passa+Liang+sipogu/data=!4m7!3m6!1s0x3031c1000ee6f31f:0x6ee7c8a134f162fd!8m2!3d2.7432066!4d98.7662828!16s%2Fg%2F11vqwvkk66!19sChIJH_PmDgDBMTAR_WLxNKHI524?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMIu4Jp_UDSyKpfzPoPj0dORGpFbulkVA_6uMln=w163-h92-k-no,4.6,82,"Simanindo, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.7432066,98.7662828,Alam,"Gua, Pemandangan, Santai, Fotografi","Batu Passa Liang Sipogu di Desa Sangkal, Simanindo, Kabupaten Samosir, adalah destinasi alam unik di tepi Danau Toba yang menampilkan formasi bebatuan besar yang tersebar di tepian danau. Di dekatnya terdapat Liang Sipogu, sebuah gua kecil bersejarah. Tempat ini menawarkan suasana yang tenang dan damai dengan pemandangan Danau Toba yang eksotis, menjadikannya lokasi menarik untuk berfoto, bersantai, dan menikmati keindahan alam, terutama saat matahari terbenam.",Simanindo,0,0,0,0.6923076923076921,0.016317485898468976,0.4895106303849251
Taman Wisata Kera Sibaganding,https://www.google.com/maps/place/Taman+Wisata+Kera+Sibaganding/data=!4m7!3m6!1s0x3031ec7654bb880f:0x2928124be5fe45d2!8m2!3d2.6927065!4d98.9270058!16s%2Fg%2F11g6ql0bzg!19sChIJD4i7VHbsMTAR0kX-5UsSKCk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMPpiJrwq9tD1wy2cuwlNTa6NDo8Uh93DI-943f=w163-h92-k-no,4.4,181,"Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-16.00,2.6927065,98.9270058,Alam,"Fauna, Edukasi, Fotografi","Taman Wisata Kera Sibaganding yang terletak di Sibaganding, Kecamatan Girsang Sipangan Bolon, Kabupaten Simalungun, merupakan area hutan lindung yang menjadi habitat bagi kera dan siamang liar. Destinasi ini menawarkan kesempatan kepada pengunjung untuk mengamati primata ini di lingkungan alaminya. Sebagai bagian dari upaya konservasi dan edukasi, tempat ini menjadi daya tarik wisata alam yang memungkinkan interaksi dengan satwa liar sambil menikmati suasana hutan yang asri di dekat kawasan Danau Toba.",Girsang Sipangan Bolon,35000,0,0,0.5384615384615388,0.0362610797743755,0.3878014008553898
Objek Wisata Pantai Paris,https://www.google.com/maps/place/Objek+Wisata+Pantai+Paris/data=!4m7!3m6!1s0x3031be4dacbb753f:0x66d6b7ab5cf56d7b!8m2!3d2.80154!4d98.780056!16s%2Fg%2F11b86lnmg0!19sChIJP3W7rE2-MTARe231XKu31mY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN7P6eJncBauSa5vSPKGCWMO7mqolYWv0G1Bv2I=w80-h106-k-no,4.3,897,"Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 24 hours,2.80154,98.780056,Bahari,"Berenang, Perahu, Banana Boat, Sepeda Air, Santai, Pemandangan, Santai, Fotografi","Objek Wisata Pantai Paris di Tigaras, Dolok Pardamean, Kabupaten Simalungun, adalah sebuah pantai yang terletak di tepi Danau Toba. Pantai ini menawarkan air danau yang jernih dan tenang, menjadikannya tempat yang pas untuk bersantai dan menikmati pemandangan luas Danau Toba dengan latar perbukitan dan Pulau Samosir. Dengan suasana yang damai, pantai ini dilengkapi fasilitas dan pilihan aktivitas air seperti perahu, cocok untuk rekreasi keluarga.",Dolok Pardamean,40000,0,0,0.4615384615384617,0.18049959709911362,0.3772268022066572
Wisata Alam Fishing-Camp Siarubung,https://www.google.com/maps/place/Wisata+Alam+Fishing-Camp+Siarubung/data=!4m7!3m6!1s0x3031dbb8cd5446c1:0x58666f0dea522c74!8m2!3d2.5633334!4d98.6608568!16s%2Fg%2F11rnf3cb_g!19sChIJwUZUzbjbMTARdCxS6g1vZlg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN7l4lk0OXtiFSx3pT2tApVNvAixeXex7b5DAQQ=w122-h92-k-no,4.9,33,"Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.5633334,98.6608568,Alam,"Memancing, Camping, Pemandangan, Santai","Wisata Alam Fishing-Camp Siarubung yang berlokasi di Turpuk Limbong, Kecamatan Harian, Kabupaten Samosir, adalah destinasi yang memadukan keindahan alam Danau Toba dengan aktivitas outdoor. Sesuai namanya, tempat ini menjadi spot populer untuk memancing di tepi danau dan berkemah di area yang asri. Menawarkan pemandangan Danau Toba yang memesona, terutama saat matahari terbenam, Fishing-Camp Siarubung menyediakan fasilitas bagi pengunjung yang ingin menikmati ketenangan alam sambil melakukan kegiatan memancing dan berkemah.",Harian,100000,0,0,0.9230769230769234,0.0064464141821112,0.6480877704084796
Tanjung Unta,https://www.google.com/maps/place/Tanjung+Unta/data=!4m7!3m6!1s0x3031bfbbd393fea1:0x4b81ff3e0745be7d!8m2!3d2.7721265!4d98.8083073!16s%2Fg%2F11c4bdyhs1!19sChIJof6T07u_MTARfb5FBz7_gUs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPWjU46SQihl35pEKGSuHW-DBmOZWTLSQc1bQqX=w163-h92-k-no,4.4,51,"Jalan St. H.H. Damanik Tambun Raya Pamatang, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21186",Open 24 hours,2.7721265,98.8083073,Alam,"Pemandangan, Santai, Fotografi, Pemandangan","Tanjung Unta yang terletak di Tigaras, Kecamatan Dolok Pardamean, Kabupaten Simalungun, adalah sebuah tanjung atau bukit alami di tepi timur Danau Toba. Dinamai demikian karena bentuknya yang konon menyerupai unta yang sedang beristirahat, tempat ini menawarkan pemandangan panoramik Danau Toba yang memukau. Dengan suasana yang tenang, Tanjung Unta menjadi lokasi favorit untuk menikmati keindahan alam, berfoto, bersantai, dan khususnya mengagumi momen matahari terbenam di atas danau.",Dolok Pardamean,5000,0,0,0.5384615384615388,0.01007252215954875,0.3799448335709418
Wisata Anugerah Indah Sippan,https://www.google.com/maps/place/Wisata+Anugerah+Indah+Sippan/data=!4m7!3m6!1s0x3031ad945953dd2b:0x18ce1ad3c5dbfbf9!8m2!3d2.9068561!4d98.5650011!16s%2Fg%2F11jq2p77ht!19sChIJK91TWZStMTAR-fvbxdMazhg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPjKK6TdNr7yST_y1VoTCJitWLhLAFtW39pk3h7=w163-h92-k-no,4.6,491,"Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 08.00-16.00,2.9068561,98.5650011,Alam,"Pemandangan, Camping, Fotografi","Wisata Anugerah Indah Sippan (WAIS) yang terletak di Desa Sippan Tigaraja, Pamatang Silimahuta, Kabupaten Simalungun, adalah destinasi wisata alam berupa perbukitan di ketinggian. Tempat ini menawarkan panorama indah Danau Toba dan hamparan perbukitan hijau di sekitarnya. Dengan udara yang sejuk dan suasana tenang, WAIS menjadi lokasi favorit untuk menikmati pemandangan, berfoto di berbagai spot kreatif termasuk taman bunga, melakukan hiking singkat, bersantai, atau berkemah di area yang telah disediakan.",Pamatang Silima Huta,0,5000,10000,0.6923076923076921,0.09871071716357775,0.5142285997644577
Bukit Indah Simarjarunjung,https://www.google.com/maps/place/Bukit+Indah+Simarjarunjung/data=!4m7!3m6!1s0x3031be7326c429cd:0x934e4a3527a57ab5!8m2!3d2.8133027!4d98.7812646!16s%2Fg%2F11dx8yz3zg!19sChIJzSnEJnO-MTARtXqlJzVKTpM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM9zzUoY2W7pPd7BPNooU-ewKrgUlzrU9OibZ2j=w163-h92-k-no,4.3,214,"Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 08.00-16.00,2.8133027,98.7812646,Alam,"Pemandangan, Trekking, Fotografi","Bukit Indah Simarjarunjung Terletak di ketinggian sekitar 1.300 mdpl, bukit ini menawarkan pemandangan spektakuler Danau Toba dan Pulau Samosir. Tempat ini juga dikenal sebagai salah satu dari ""10 Bali Baru"" karena pesona alamnya yang memukau.",Dolok Pardamean,15000,5000,10000,0.4615384615384617,0.04290894439967768,0.3359496063968265
Samosir Botanical Garden,https://www.google.com/maps/place/Samosir+Botanical+Garden/data=!4m7!3m6!1s0x3031c299e6a163b3:0xf19cfb96eb6e7d1!8m2!3d2.6351532!4d98.8712551!16s%2Fg%2F1hm5c1ngn!19sChIJs2Oh5pnCMTAR0ee2brnPGQ8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMUMJvDqWwPTFFN5xh8IYXww0KpKjEmUEncZeec=w138-h92-k-no,4.2,253,"Tomok, Simanindo, Samosir Regency, North Sumatra 22395",Open 08.00-18.00,2.6351532,98.8712551,Alam,"Flora, Fotografi, Santai",Samosir Botanical Garden menampilkan berbagai jenis tanaman tropis dan menawarkan pemandangan indah Danau Toba. Suasana tenang dan asri menjadikannya tempat ideal untuk bersantai dan belajar tentang keanekaragaman hayati lokal.,Simanindo,0,0,0,0.384615384615385,0.0507655116841257,0.2844604227360072
Air Terjun Sipiso Piso,https://www.google.com/maps/place/Air+Terjun+Sipiso+Piso/data=!4m7!3m6!1s0x3031ad70b69431e9:0x8d2b0d8b4069f47f!8m2!3d2.9164873!4d98.5195038!16s%2Fg%2F11c1g6qdhc!19sChIJ6TGUtnCtMTARf_RpQIsNK40?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMn8vSZJc7L3LMKMLX7u_4xZX2h2h4tV2w6EUdo=w92-h92-k-no,4.5,15,"Tongging, Merek, Karo Regency, North Sumatra 22173",Open 24 hours,2.9164873,98.5195038,Alam,"Pemandangan, Fotografi, Trekking","Air Terjun Sipiso Piso memiliki ketinggian sekitar 120 meter, air terjun ini merupakan salah satu yang tertinggi di Indonesia. Terletak di perbukitan Karo, pengunjung dapat menikmati pemandangan Danau Toba dari ketinggian.",Merek,7000,3000,5000,0.6153846153846154,0.0028203062046736503,0.4316153226306329
Air Terjun Siringo,https://www.google.com/maps/place/Air+Terjun+Siringo/data=!4m7!3m6!1s0x3031b5c720b67c65:0xf2dd7c5fe34cda93!8m2!3d2.7727056!4d98.5527984!16s%2Fg%2F11g6nr6593!19sChIJZXy2IMe1MTARk9pM41983fI?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOS5eNKViCCpJ0xj_la4RAeGCv1sbkGDMXq-X2P=w80-h106-k-no,4.5,121,"Silalahi III, Silahisabungan, Dairi Regency, North Sumatra",Open 08.00-16.00,2.7727056,98.5527984,Alam,"Trekking, Fotografi, Pemandangan",Air Terjun Sipiso Piso memiliki beberapa tingkatan dengan pemandangan alam yang memukau. Cocok bagi pecinta alam yang ingin menjelajahi keindahan tersembunyi di kawasan Silahisabungan.,Silahisabungan,5000,0,0,0.6153846153846154,0.024174053182917002,0.43802144672410587
Tao Silalahi,https://www.google.com/maps/place/Tao+Silalahi+Hotel/data=!4m7!3m6!1s0x3031b59aaaaaaaab:0xf04f21347b36fb9!8m2!3d2.7908139!4d98.5329025!16s%2Fg%2F11c2qthb08!19sChIJq6qqqpq1MTARuW-zRxPyBA8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipP2VaEJoO5X8oeHclGX8J6on_Z2Lh5Kw5hi2uLl=w122-h92-k-no,4.5,482,"Silalahi I, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara 22281",Open 24 hours,2.7908139,98.5329025,Alam,"Aktivitas Air, Berenang, Perahu, Memancing, Camping","Tao Silalahi terletak di tepi Danau Toba, destinasi wisata ini menawarkan pemandangan indah dan akses langsung ke danau. Pengunjung dapat menikmati berbagai aktivitas air dan bersantai di lingkungan yang tenang.",Silahisabungan,0,5000,20000,0.6153846153846154,0.09689766317485898,0.4598385297216885
Pantai Silalahi,https://www.google.com/maps/place/Pantai+Silalahi/data=!4m7!3m6!1s0x3031b4f879e39fcd:0xd5b911cbb4bc8eb0!8m2!3d2.7947182!4d98.527872!16s%2Fg%2F11bzypkwhj!19sChIJzZ_jefi0MTARsI68tMsRudU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNY9KP4wLUMV5STNAT5XSqmL2RgsuSoK2cXbxc3=w122-h92-k-no,4.4,382,"Silalahi III, Silahisabungan, Dairi Regency, North Sumatra",Open 08.00-20.00,2.7947182,98.527872,Bahari,"Aktivitas Air, Berenang, Perahu, Memancing",Pantai Silalahi menawarkan pasir putih dan air jernih Danau Toba. Cocok untuk aktivitas keluarga dan menikmati keindahan alam sekitar.,Silahisabungan,15000,5000,10000,0.5384615384615388,0.07675261885576148,0.3999488625798056
SIHALPE Danau Toba dan area mendaki,https://www.google.com/maps/place/SIHALPE+Danau+Toba+dan+area+mendaki/data=!4m7!3m6!1s0x3031b193ff98907b:0xbe569eabc6cfde51!8m2!3d2.8759917!4d98.6337417!16s%2Fg%2F11r8pc_r89!19sChIJe5CY_5OxMTARUd7PxqueVr4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNiOSbvEO3GVLNbBIqtRRzM4_SwPRLFwH5FO0ak=w122-h92-k-no,4.0,5,"Nagori Sihalpe, Kec. Haranggaol Horison, Kabupaten Simalungun, Sumatera Utara 21165",Open 24 hours,2.8759917,98.6337417,Alam,"Hiking, Camping, Pemandangan", SIHALPE Danau Toba dan Area Mendaki menawarkan jalur pendakian dengan pemandangan spektakuler Danau Toba. Cocok bagi pecinta alam dan petualangan yang ingin menjelajahi keindahan alam Sumatera Utara.,Haranggaol Horison,0,0,0,0.23076923076923084,0.0008058017727639,0.08089010103514538
Long Beach Ajibata,https://www.google.com/maps/place/Long+Beach/data=!4m7!3m6!1s0x3031eeb118d713d7:0x7e45ab16149671fd!8m2!3d2.6520827!4d98.9325375!16s%2Fg%2F11cs7ntz8p!19sChIJ1xPXGLHuMTAR_XGWFBarRX4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMwoGOVbW5EY_B6CxSAB68lpVc--e9NROw46WHB=w174-h92-k-no,4.3,56,"Pardamean Ajibata, Ajibata, Toba, North Sumatra",Open 24 hours,2.6520827,98.9325375,Bahari,"Aktivitas Air, Berenang, Piknik, Pemandangan","Long Beach Ajibata adalah pantai alami yang terletak di kawasan Ajibata, Toba. Pantai ini menawarkan pasir putih yang lembut dan air jernih yang tenang, cocok untuk berenang dan bersantai. Suasana yang tenang dan pemandangan Danau Toba yang memukau menjadikan Long Beach tempat ideal untuk piknik keluarga dan fotografi alam.",Ajibata,5000,0,0,0.4615384615384617,0.011079774375503625,0.32640085538957425
Sapo Juma,https://www.google.com/maps/place/Sapo+Juma/data=!4m7!3m6!1s0x3031ad6384f85c4b:0x6593b5bb185cfed1!8m2!3d2.9099556!4d98.519545!16s%2Fg%2F11f_j7jvpj!19sChIJS1z4hGOtMTAR0f5cGLu1k2U?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPnL6cAXA9r8tYdGb3bHvU8QYC_dkO59VrDfaHc=w163-h92-k-no,4.4,627,"Pangambatan, Merek, Karo Regency, North Sumatra 22173",Open 08.00-16.00,2.9099556,98.519545,Alam,"Trekking, Fotografi, Pemandangan","Sapo Juma adalah taman alam yang memukau di Kabupaten Karo, Sumatera Utara. Dikenal karena keindahan alamnya yang menakjubkan, tempat ini menawarkan kesempatan bagi pengunjung untuk menikmati keindahan hutan tropis dan danau yang tenang. Dikelilingi oleh flora dan fauna yang beragam, Sapo Juma adalah surga bagi pecinta alam dan fotografer.",Merek,20000,0,0,0.5384615384615388,0.12610797743755037,0.4147554701543422
Caldera toba nomadic escape (glamour camping),https://www.google.com/maps/place/Caldera+toba+nomadic+escape+%28glamour+camping%29/data=!4m7!3m6!1s0x3031ef586f60ca0d:0xb805f2c3eaeeda0!8m2!3d2.6078521!4d98.9460998!16s%2Fg%2F11rfby_56q!19sChIJDcpgb1jvMTARoO2uPixfgAs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNLlT7-TgEjMhcHuNh0thJ283E4rF_sQjX_VGKN=w80-h120-k-no,4.5,232,"Pardamean Sibisa, Ajibata, Toba, North Sumatra 22386",Open 07.00-18.00,2.6078521,98.9460998,Alam,"Camping, Pemandangan, Fotografi",Caldera Toba Nomadic Escape menawarkan pengalaman glamping yang unik dengan pemandangan spektakuler Danau Toba dari ketinggian. Fasilitas modern seperti kafe dan spot foto tersedia untuk kenyamanan pengunjung. Tempat ini ideal bagi mereka yang ingin merasakan kedekatan dengan alam tanpa mengorbankan kenyamanan,Ajibata,20000,0,0,0.6153846153846154,0.04653505237711523,0.44472974648236535
WISATA INDAH SIPPAN (WIS) JUMA REBEN 2,https://www.google.com/maps/place/WISATA+INDAH+SIPPAN+%28WIS%29+JUMA+REBEN+2/data=!4m7!3m6!1s0x3031ad29867d7683:0xaeb1aa7a6f8c1cff!8m2!3d2.9064567!4d98.565474!16s%2Fg%2F11mtd759pc!19sChIJg3Z9himtMTAR_xyMb3qqsa4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPaFkHqQBOzJKACVmNfcfPH3AItmYfyu6xhUyRA=w163-h92-k-no,4.6,87,"Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 24 hours,2.9064567,98.565474,Alam,"Pemandangan, Piknik, Fotografi","WISATA INDAH SIPPAN (WIS) JUMA REBEN 2 adalah destinasi wisata yang menawarkan keindahan alam yang asri dan tenang. Terletak di daerah Naga Saribu, tempat ini cocok untuk pengunjung yang ingin bersantai dan menikmati suasana alam yang damai.",Pamatang Silima Huta,0,5000,10000,0.6923076923076921,0.01732473811442385,0.48981280604971156
Desa Wisata river side Juma Bulu,https://www.google.com/maps/place/Desa+Wisata+river+side+Juma+Bulu/data=!4m7!3m6!1s0x3031ef7577e29429:0x8413d1ccbe3452c0!8m2!3d2.6477007!4d98.9408812!16s%2Fg%2F11kpbcvpym!19sChIJKZTid3XvMTARwFI0vszRE4Q?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNjiqeSTW9lRcmC_pcHjvu5Y_eJylOhW2k6f-Fx=w122-h92-k-no,5.0,8,"Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 24 hours,2.6477007,98.9408812,Alam,"Aktivitas Air, Arum Jeram, Pemandangan","Desa Wisata River Side Juma Bulu menawarkan pengalaman wisata alam dengan kegiatan river tubing yang menyenangkan. Dikelilingi oleh persawahan yang hijau dan udara yang sejuk, desa ini juga memberikan kesempatan bagi pengunjung untuk berinteraksi dengan budaya lokal dan menikmati keindahan alam sekitar.",Ajibata,0,0,0,1.0,0.0014101531023368251,0.3502115229653505
Paepira Lakeside,https://www.google.com/maps/place/Paepira+Lakeside/data=!4m7!3m6!1s0x3031b32b81715411:0x9fecb9b80d65ae58!8m2!3d2.8831165!4d98.5517443!16s%2Fg%2F11rtr9nnf0!19sChIJEVRxgSuzMTARWK5lDbi57J8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipP24CA1uQCrfsPvMPqhaYqK_iiFnVgFRbv1nxli=w138-h92-k-no,4.8,348,"Sibolangit, Merek, Karo Regency, North Sumatra 21167",Open 24 hours,2.8831165,98.5517443,Alam,"Pemandangan, Santai, Fotografi","Paepira Lakeside adalah tempat wisata yang menawarkan pemandangan indah Danau Toba dari sisi Sibolangit. Dengan suasana yang tenang dan fasilitas yang memadai, tempat ini cocok untuk bersantai dan menikmati keindahan alam.",Merek,0,5000,5000,0.8461538461538463,0.06990330378726833,0.6132786834438728
Menara Pandang Tele,https://www.google.com/maps/place/Menara+Pandang+Tele/data=!4m7!3m6!1s0x3031d060f0e3180b:0xb561ba45f008aa18!8m2!3d2.5520625!4d98.6398125!16s%2Fg%2F11c55sb9rm!19sChIJCxjj8GDQMTARGKoI8EW6YbU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOlwbqH86VQ-sDXPKxUujIIDDQWV4jpCR1imORE=w122-h92-k-no,4.5,942,"Tele Desa Partungkotnaginjang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396",Open 08.00-16.00,2.5520625,98.6398125,Alam,"Pemandangan, Fotografi","Menara Pandang Tele adalah titik observasi yang menawarkan pemandangan spektakuler Danau Toba dari ketinggian. Terletak di atas bukit, menara ini memberikan perspektif luas yang mencakup pegunungan, air terjun, dan danau, menjadikannya tempat favorit bagi fotografer dan pecinta alam.",Harian,7000,0,0,0.6153846153846154,0.18956486704270747,0.48763869088204304
Lake Above The Lake (Danau di atas Danau),https://www.google.com/maps/place/Lake+Above+The+Lake+%28Danau+di+atas+Danau/data=!4m7!3m6!1s0x3031c5f37e882267:0x2962664a6635e8f1!8m2!3d2.6014763!4d98.7469027!16s%2Fg%2F11j38pjt4b!19sChIJZyKIfvPFMTAR8eg1ZkpmYik?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOwj784rnu0jO8agSddC9cRU6DtchhlcOGmHaS8=w80-h106-k-no,4.4,8,"Salaon Toba, Ronggur Nihuta, Samosir Regency, North Sumatra 22392",Open 08.00-16.00,2.6014763,98.7469027,Alam,"Pemandangan, Fotografi, Eksplorasi","Lake Above The Lake, atau Danau di atas Danau, adalah keajaiban alam yang terletak di Kabupaten Samosir. Danau ini menawarkan pemandangan yang memukau dan suasana yang tenang, cocok bagi mereka yang ingin merasakan kedamaian alam dan keindahan yang belum banyak terjamah.",Ronggur Nihuta,0,0,0,0.5384615384615388,0.0014101531023368251,0.18867306142688908
Batu marhosa,https://www.google.com/maps/place/Batu+marhosa/data=!4m7!3m6!1s0x3031e8503accf529:0xf78f4890dfbf01ba!8m2!3d2.6041291!4d98.8680224!16s%2Fg%2F11c1r0fnsj!19sChIJKfXMOlDoMTARugG_35BIj_c?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM-3l7y-tMR3ZR-RBGv5wJ-_K5z6Dy-SUSAttKX=w122-h92-k-no,4.3,70,"Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 08.00-16.00,2.6041291,98.8680224,Alam,"Santai, Fotografi","Batu Marhosa adalah batu unik yang terletak di puncak tebing Pulau Samosir, Desa Parmonangan Huta Sorsortolong, Kecamatan Simanindo. Batu ini dikenal karena dapat mengeluarkan angin secara alami, sebuah fenomena yang menarik perhatian wisatawan dan masyarakat lokal. Lokasinya yang berada di ketinggian menawarkan pemandangan indah Danau Toba dan sekitarnya, menjadikannya tempat yang cocok untuk relaksasi dan menikmati keajaiban alam.",Simanindo,0,0,0,0.4615384615384617,0.013900080580177275,0.3272469472509763
Pemandian Aek Sipitu Dai,https://www.google.com/maps/place/Pemandian+Aek+Sipitu+Dai/data=!4m7!3m6!1s0x3031d0106d42bb71:0x5f4de331ece86492!8m2!3d2.5787301!4d98.6476008!16s%2Fg%2F11b7lmk7kt!19sChIJcbtCbRDQMTARkmTo7DHjTV8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOvgYmruBsPMxxOCPSOKH_jtg274LgY5Clwlw7L=w200-h92-k-no,4.3,415,"Aek Sipitudai, Sianjur Mula Mula, Samosir Regency, North Sumatra 22396",Open 08.00-16.00,2.5787301,98.6476008,Alam,Fotografi,"Pemandian Aek Sipitu Dai, yang berarti ""Air Tujuh Rasa"", terletak di Desa Limbong Mulana, Kecamatan Sianjur Mula Mula, Kabupaten Samosir. Tempat ini terkenal dengan tujuh pancuran air yang masing-masing memiliki rasa berbeda, sebuah fenomena alam yang langka.",Sianjur Mula Mula,10000,0,0,0.4615384615384617,0.08340048348106366,0.34809706812124225
View Point Tongging Geopark Kaldera Toba,https://www.google.com/maps/place/View+Point+Tongging+Geopark+Kaldera+Toba/data=!4m7!3m6!1s0x3031b336f603d02b:0x9b37d4e1c5e0ed67!8m2!3d2.8968349!4d98.5287058!16s%2Fg%2F11fqpx30ym!19sChIJK9AD9jazMTARZ-3gxeHUN5s?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN-LjIul6qX-6U8Jju5XRrWhBlu-wXDmIQy1RgD=w204-h92-k-no,4.6,170,"Jl. Tongging - Silalahi No.22, Tongging, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173",Open 24 hours,2.8968349,98.5287058,Alam,"Pemandangan, Fotografi, Edukasi","View Point Tongging terletak di Desa Tongging, Kecamatan Merek, Kabupaten Karo. Tempat ini menawarkan pemandangan spektakuler Danau Toba dan sekitarnya dari ketinggian. Sebagai bagian dari Geopark Kaldera Toba, lokasi ini juga memberikan informasi edukatif tentang sejarah geologi dan pembentukan kaldera Toba, menjadikannya tempat yang ideal bagi wisatawan yang tertarik dengan keindahan alam dan ilmu pengetahuan.",Merek,20000,0,0,0.6923076923076921,0.034045124899274776,0.4948289220851668
WAIS desa sippan,https://www.google.com/maps/place/WAIS+desa+sippan/data=!4m7!3m6!1s0x3031adb5e0cf1c39:0x56493839df4fb533!8m2!3d2.9076666!4d98.5651309!16s%2Fg%2F11p5djfjvg!19sChIJORzP4LWtMTARM7VP3zk4SVY?authuser=0&hl=en&rclk=1 ,https://lh3.googleusercontent.com/p/AF1QipN_dgAclwS3ricLHNlhTpzBb_iEx_1Ni-TtjF6L=w122-h92-k-no,4.6,56,"Naga Saribu, Pamatang Silima Huta, Simalungun Regency, North Sumatra 21167",Open 24 hours,2.9076666,98.5651309,Alam,"Hiking, Camping, Fotografi, Pemandangan","Wisata Anugerah Indah Sippan (WAIS) terletak di Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Kabupaten Simalungun. Berada di ketinggian 1.410 meter di atas permukaan laut, WAIS menawarkan pemandangan indah Danau Toba dan sekitarnya",Pamatang Silima Huta,10000,0,0,0.6923076923076921,0.011079774375503625,0.4879393169280355
