,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,note
Taman Wisata Kera Sibaganding,https://www.google.com/maps/place/Taman+Wisata+Kera+Sibaganding/data=!4m7!3m6!1s0x3031ec7654bb880f:0x2928124be5fe45d2!8m2!3d2.6927065!4d98.9270058!16s%2Fg%2F11g6ql0bzg!19sChIJD4i7VHbsMTAR0kX-5UsSKCk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMPpiJrwq9tD1wy2cuwlNTa6NDo8Uh93DI-943f=w163-h92-k-no,4.4,181,"Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-16.00,2.6927065,98.9270058,Alam,"Fauna, Edukasi, Fotografi","Taman Wisata Kera Sibaganding yang terletak di Sibaganding, Kecamatan Girsang Sipangan Bolon, Kabupaten Simalungun, merupakan area hutan lindung yang menjadi habitat bagi kera dan siamang liar. Destinasi ini menawarkan kesempatan kepada pengunjung untuk mengamati primata ini di lingkungan alaminya. Sebagai bagian dari upaya konservasi dan edukasi, tempat ini menjadi daya tarik wisata alam yang memungkinkan interaksi dengan satwa liar sambil menikmati suasana hutan yang asri di dekat kawasan Danau Toba.",
Objek Wisata Pantai Paris,https://www.google.com/maps/place/Objek+Wisata+Pantai+Paris/data=!4m7!3m6!1s0x3031be4dacbb753f:0x66d6b7ab5cf56d7b!8m2!3d2.80154!4d98.780056!16s%2Fg%2F11b86lnmg0!19sChIJP3W7rE2-MTARe231XKu31mY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN7P6eJncBauSa5vSPKGCWMO7mqolYWv0G1Bv2I=w80-h106-k-no,4.3,897,"Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 24 hours,2.80154,98.780056,Bahari,"Berenang, Perahu, Banana Boat, Sepeda Air, Santai, Pemandangan, Santai, Fotografi","Objek Wisata Pantai Paris di Tigaras, Dolok Pardamean, Kabupaten Simalungun, adalah sebuah pantai yang terletak di tepi Danau Toba. Pantai ini menawarkan air danau yang jernih dan tenang, menjadikannya tempat yang pas untuk bersantai dan menikmati pemandangan luas Danau Toba dengan latar perbukitan dan Pulau Samosir. Dengan suasana yang damai, pantai ini dilengkapi fasilitas dan pilihan aktivitas air seperti perahu, cocok untuk rekreasi keluarga.",
Wisata Alam Fishing-Camp Siarubung,https://www.google.com/maps/place/Wisata+Alam+Fishing-Camp+Siarubung/data=!4m7!3m6!1s0x3031dbb8cd5446c1:0x58666f0dea522c74!8m2!3d2.5633334!4d98.6608568!16s%2Fg%2F11rnf3cb_g!19sChIJwUZUzbjbMTARdCxS6g1vZlg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN7l4lk0OXtiFSx3pT2tApVNvAixeXex7b5DAQQ=w122-h92-k-no,4.9,33,"Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.5633334,98.6608568,Alam,"Memancing, Camping, Pemandangan, Santai","Wisata Alam Fishing-Camp Siarubung yang berlokasi di Turpuk Limbong, Kecamatan Harian, Kabupaten Samosir, adalah destinasi yang memadukan keindahan alam Danau Toba dengan aktivitas outdoor. Sesuai namanya, tempat ini menjadi spot populer untuk memancing di tepi danau dan berkemah di area yang asri. Menawarkan pemandangan Danau Toba yang memesona, terutama saat matahari terbenam, Fishing-Camp Siarubung menyediakan fasilitas bagi pengunjung yang ingin menikmati ketenangan alam sambil melakukan kegiatan memancing dan berkemah.",
Tanjung Unta,https://www.google.com/maps/place/Tanjung+Unta/data=!4m7!3m6!1s0x3031bfbbd393fea1:0x4b81ff3e0745be7d!8m2!3d2.7721265!4d98.8083073!16s%2Fg%2F11c4bdyhs1!19sChIJof6T07u_MTARfb5FBz7_gUs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPWjU46SQihl35pEKGSuHW-DBmOZWTLSQc1bQqX=w163-h92-k-no,4.4,51,"Jalan St. H.H. Damanik Tambun Raya Pamatang, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21186",Open 24 hours,2.7721265,98.8083073,Alam,"Pemandangan, Santai, Fotografi, Pemandangan","Tanjung Unta yang terletak di Tigaras, Kecamatan Dolok Pardamean, Kabupaten Simalungun, adalah sebuah tanjung atau bukit alami di tepi timur Danau Toba. Dinamai demikian karena bentuknya yang konon menyerupai unta yang sedang beristirahat, tempat ini menawarkan pemandangan panoramik Danau Toba yang memukau. Dengan suasana yang tenang, Tanjung Unta menjadi lokasi favorit untuk menikmati keindahan alam, berfoto, bersantai, dan khususnya mengagumi momen matahari terbenam di atas danau.",
Wisata Anugerah Indah Sippan,https://www.google.com/maps/place/Wisata+Anugerah+Indah+Sippan/data=!4m7!3m6!1s0x3031ad945953dd2b:0x18ce1ad3c5dbfbf9!8m2!3d2.9068561!4d98.5650011!16s%2Fg%2F11jq2p77ht!19sChIJK91TWZStMTAR-fvbxdMazhg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPjKK6TdNr7yST_y1VoTCJitWLhLAFtW39pk3h7=w163-h92-k-no,4.6,491,"Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 08.00-16.00,2.9068561,98.5650011,Alam,"Pemandangan, Camping, Fotografi","Wisata Anugerah Indah Sippan (WAIS) yang terletak di Desa Sippan Tigaraja, Pamatang Silimahuta, Kabupaten Simalungun, adalah destinasi wisata alam berupa perbukitan di ketinggian. Tempat ini menawarkan panorama indah Danau Toba dan hamparan perbukitan hijau di sekitarnya. Dengan udara yang sejuk dan suasana tenang, WAIS menjadi lokasi favorit untuk menikmati pemandangan, berfoto di berbagai spot kreatif termasuk taman bunga, melakukan hiking singkat, bersantai, atau berkemah di area yang telah disediakan.",
Bukit Indah Simarjarunjung,https://www.google.com/maps/place/Bukit+Indah+Simarjarunjung/data=!4m7!3m6!1s0x3031be7326c429cd:0x934e4a3527a57ab5!8m2!3d2.8133027!4d98.7812646!16s%2Fg%2F11dx8yz3zg!19sChIJzSnEJnO-MTARtXqlJzVKTpM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM9zzUoY2W7pPd7BPNooU-ewKrgUlzrU9OibZ2j=w163-h92-k-no,4.3,214,"Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 08.00-16.00,2.8133027,98.7812646,Alam,"Pemandangan, Trekking, Fotografi","Bukit Indah Simarjarunjung Terletak di ketinggian sekitar 1.300 mdpl, bukit ini menawarkan pemandangan spektakuler Danau Toba dan Pulau Samosir. Tempat ini juga dikenal sebagai salah satu dari ""10 Bali Baru"" karena pesona alamnya yang memukau.",
Samosir Botanical Garden,https://www.google.com/maps/place/Samosir+Botanical+Garden/data=!4m7!3m6!1s0x3031c299e6a163b3:0xf19cfb96eb6e7d1!8m2!3d2.6351532!4d98.8712551!16s%2Fg%2F1hm5c1ngn!19sChIJs2Oh5pnCMTAR0ee2brnPGQ8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMUMJvDqWwPTFFN5xh8IYXww0KpKjEmUEncZeec=w138-h92-k-no,4.2,253,"Tomok, Simanindo, Samosir Regency, North Sumatra 22395",Open 08.00-18.00,2.6351532,98.8712551,Alam,"Flora, Fotografi, Santai",Samosir Botanical Garden menampilkan berbagai jenis tanaman tropis dan menawarkan pemandangan indah Danau Toba. Suasana tenang dan asri menjadikannya tempat ideal untuk bersantai dan belajar tentang keanekaragaman hayati lokal.,
Air Terjun Sipiso Piso,https://www.google.com/maps/place/Air+Terjun+Sipiso+Piso/data=!4m7!3m6!1s0x3031ad70b69431e9:0x8d2b0d8b4069f47f!8m2!3d2.9164873!4d98.5195038!16s%2Fg%2F11c1g6qdhc!19sChIJ6TGUtnCtMTARf_RpQIsNK40?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMn8vSZJc7L3LMKMLX7u_4xZX2h2h4tV2w6EUdo=w92-h92-k-no,4.5,15,"Tongging, Merek, Karo Regency, North Sumatra 22173",Open 24 hours,2.9164873,98.5195038,Alam,"Pemandangan, Fotografi, Trekking","Air Terjun Sipiso Piso memiliki ketinggian sekitar 120 meter, air terjun ini merupakan salah satu yang tertinggi di Indonesia. Terletak di perbukitan Karo, pengunjung dapat menikmati pemandangan Danau Toba dari ketinggian.",
Air Terjun Siringo,https://www.google.com/maps/place/Air+Terjun+Siringo/data=!4m7!3m6!1s0x3031b5c720b67c65:0xf2dd7c5fe34cda93!8m2!3d2.7727056!4d98.5527984!16s%2Fg%2F11g6nr6593!19sChIJZXy2IMe1MTARk9pM41983fI?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOS5eNKViCCpJ0xj_la4RAeGCv1sbkGDMXq-X2P=w80-h106-k-no,4.5,121,"Silalahi III, Silahisabungan, Dairi Regency, North Sumatra",Open 08.00-16.00,2.7727056,98.5527984,Alam,"Trekking, Fotografi, Pemandangan",Air Terjun Sipiso Piso memiliki beberapa tingkatan dengan pemandangan alam yang memukau. Cocok bagi pecinta alam yang ingin menjelajahi keindahan tersembunyi di kawasan Silahisabungan.,
Desa Wisata Tomok Parsaoran,https://www.google.com/maps/place/Desa+Wisata+Tomok+Parsaoran/data=!4m7!3m6!1s0x3031e9ba15354255:0xc2c6218271f054a5!8m2!3d2.6517983!4d98.8610551!16s%2Fg%2F11mvlmmp9f!19sChIJVUI1FbrpMTARpVTwcYIhxsI?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMXOFTL33W8yl8-i-qFeGtOhRLGx2u4P7Aen7yZ=w92-h92-k-no,4.4,43,"Jl. Makam Sidabutar Jalan, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open,2.6517983,98.8610551,Budaya,Hiburan,"Desa Wisata Tomok Parsaoran terkenal dengan situs makam Raja Sidabutar, pertunjukan patung Sigale-gale, dan rumah adat Batak. Merupakan pintu gerbang utama menuju Pulau Samosir dan menawarkan pengalaman budaya yang kaya.",bukan kategori
Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),https://www.google.com/maps/place/Batu+Kursi+Raja+Siallagan+%28+Stone+Chair+of+King+Siallagan+%29/data=!4m7!3m6!1s0x3031ea09d670810b:0x3abadc83950327b3!8m2!3d2.6790382!4d98.836036!16s%2Fg%2F11bwtdpcyk!19sChIJC4Fw1gnqMTARsycDlYPcujo?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPHtvrpYrE_UTNh1Zz2MWn3s_epj2-EXAh4SEmT=w163-h92-k-no,4.5,339,"Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 08.00-18.00,2.6790382,98.836036,Budaya,"Eksplorasi, Fotografi","Batu Kursi Raja Siallagan adalah situs bersejarah yang terletak di Desa Siallagan Pindaraya, Pulau Samosir. Situs ini menampilkan kursi dan meja batu yang digunakan oleh Raja Siallagan dan para penatua adat untuk mengadili pelanggar hukum adat Batak.",bukan kategori
Tao Silalahi Hotel,https://www.google.com/maps/place/Tao+Silalahi+Hotel/data=!4m7!3m6!1s0x3031b59aaaaaaaab:0xf04f21347b36fb9!8m2!3d2.7908139!4d98.5329025!16s%2Fg%2F11c2qthb08!19sChIJq6qqqpq1MTARuW-zRxPyBA8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipP2VaEJoO5X8oeHclGX8J6on_Z2Lh5Kw5hi2uLl=w122-h92-k-no,4.5,482,"QGRM+85C, Silalahi I, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara 22281",Open 24 hours,2.7908139,98.5329025,Alam,"Aktivitas Air, Berenang, Perahu, Memancing, Camping","Tao Silalahi Hotel terletak di tepi Danau Toba, hotel ini menawarkan pemandangan indah dan akses langsung ke danau. Pengunjung dapat menikmati berbagai aktivitas air dan bersantai di lingkungan yang tenang.",
Old Tomb of King Sidabutar,https://www.google.com/maps/place/Old+Tomb+of+King+Sidabutar/data=!4m7!3m6!1s0x3031e99483a8f875:0xc42e0195b5b2968a!8m2!3d2.6513151!4d98.860582!16s%2Fg%2F11c5rvmg6c!19sChIJdfiog5TpMTARipaytZUBLsQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNHeuaaku22I8AVtJHEsBHDmGJEp7gRlpYZY6c0=w122-h92-k-no,4.4,163,"Tomok, Simanindo, Samosir Regency, North Sumatra 22395",Open 24 hours,2.6513151,98.860582,Sejarah,", Edukasi, Fotografi"," Old Tomb of King Sidabutar merupakan situs bersejarah yang penting bagi masyarakat Batak. Terdapat ukiran kepala raja pada batu nisan, mencerminkan seni dan budaya Batak yang kaya.",bukan kategori
Pesanggrahan Bung Karno,https://www.google.com/maps/place/Pesanggrahan+Bung+Karno/data=!4m7!3m6!1s0x3031eea3f25aef29:0xfb99de4919f47cf5!8m2!3d2.6654975!4d98.926417!16s%2Fg%2F11bzt8yjf9!19sChIJKe9a8qPuMTAR9Xz0GUnemfs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN0hWT9QznBnALQJW3QsaKIZ_YgSx-8rFvT55kK=w122-h92-k-no,4.6,333,"Pantai mercusuar, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 09.00-17.00,2.6654975,98.926417,Sejarah,", Edukasi, Fotografi","Pesanggrahan Bung Karno, merupakan tempat peristirahatan Bung Karno di Parapat. Menawarkan wawasan tentang sejarah perjuangan kemerdekaan Indonesia dan kehidupan sang proklamator.",bukan kategori
Pantai Silalahi,https://www.google.com/maps/place/Pantai+Silalahi/data=!4m7!3m6!1s0x3031b4f879e39fcd:0xd5b911cbb4bc8eb0!8m2!3d2.7947182!4d98.527872!16s%2Fg%2F11bzypkwhj!19sChIJzZ_jefi0MTARsI68tMsRudU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNY9KP4wLUMV5STNAT5XSqmL2RgsuSoK2cXbxc3=w122-h92-k-no,4.4,382,"Silalahi III, Silahisabungan, Dairi Regency, North Sumatra",Open 08.00-20.00,2.7947182,98.527872,Bahari,"Berenang, Perahu, Memancing",Pantai Silalahi menawarkan pasir putih dan air jernih Danau Toba. Cocok untuk aktivitas keluarga dan menikmati keindahan alam sekitar.,
Danau Toba,https://www.google.com/maps/place/Danau+Toba/data=!4m7!3m6!1s0x3031ebc8fc578617:0x4b8be6c4c01e61fb!8m2!3d2.6827644!4d98.8888816!16s%2Fg%2F11fx8wb8st!19sChIJF4ZX_MjrMTAR-2EewMTmi0s?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNjo6ATMg1i70q123n9oZpp9hSoGb76p5gV-y-k=w163-h92-k-no,4.7,14,"MVMQ+4H2, Danau Toba",Open 24 hours,2.6827644,98.8888816,Alam,"Perahu, Berenang, Camping, Eksplorasi","Danau Silalahi merupakan danau vulkanik terbesar di dunia, Danau Toba menawarkan pemandangan alam yang luar biasa dan berbagai aktivitas wisata. Merupakan pusat budaya Batak dan destinasi unggulan di Sumatera Utara. ",
SIHALPE Danau Toba dan area mendaki,https://www.google.com/maps/place/SIHALPE+Danau+Toba+dan+area+mendaki/data=!4m7!3m6!1s0x3031b193ff98907b:0xbe569eabc6cfde51!8m2!3d2.8759917!4d98.6337417!16s%2Fg%2F11r8pc_r89!19sChIJe5CY_5OxMTARUd7PxqueVr4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNiOSbvEO3GVLNbBIqtRRzM4_SwPRLFwH5FO0ak=w122-h92-k-no,4,5,"VJGM+9FX, Unnamed Road, Nagori Sihalpe, Kec. Haranggaol Horison, Kabupaten Simalungun, Sumatera Utara 21165",Open 24 hours,2.8759917,98.6337417,Alam,"Hiking, Camping, Pemandangan", SIHALPE Danau Toba dan Area Mendaki menawarkan jalur pendakian dengan pemandangan spektakuler Danau Toba. Cocok bagi pecinta alam dan petualangan yang ingin menjelajahi keindahan alam Sumatera Utara.,
Huta Siallagan,https://www.google.com/maps/place/Huta+Siallagan/data=!4m7!3m6!1s0x3031c125fc54fdc5:0x1b8c3a82e22fd9!8m2!3d2.6790415!4d98.8362653!16s%2Fg%2F11rj5kn9zt!19sChIJxf1U_CXBMTAR2S_igjqMGwA?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipO_1T35JOqIu9zdPqxC1q2kynyuCx6EEFEp9GBY=w92-h92-k-no,4.7,110,"MRHP+JG6, Jl. Lkr. Tuktuk, Desa Siallagan, Pindaraya, Kabupaten Samosir, Sumatera Utara 22395",Open now,2.6790415,98.8362653,Budaya,", , Edukasi","Huta Siallagan adalah kampung adat Suku Batak Toba yang terkenal dengan Batu Persidangan, tempat di mana para tetua adat mengadili pelanggar hukum. Menawarkan wawasan mendalam tentang budaya dan tradisi Batak",bukan kategori
Long Beach,https://www.google.com/maps/place/Long+Beach/data=!4m7!3m6!1s0x3031eeb118d713d7:0x7e45ab16149671fd!8m2!3d2.6520827!4d98.9325375!16s%2Fg%2F11cs7ntz8p!19sChIJ1xPXGLHuMTAR_XGWFBarRX4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMwoGOVbW5EY_B6CxSAB68lpVc--e9NROw46WHB=w174-h92-k-no,4.3,56,"MW2M+R2M, Pardamean Ajibata, Ajibata, Toba, North Sumatra",Open 24 hours,2.6520827,98.9325375,Bahari,"Aktivitas Air, Berenang, , Piknik, Pemandangan","Long Beach adalah pantai alami yang terletak di kawasan Ajibata, Toba. Pantai ini menawarkan pasir putih yang lembut dan air jernih yang tenang, cocok untuk berenang dan bersantai. Suasana yang tenang dan pemandangan Danau Toba yang memukau menjadikan Long Beach tempat ideal untuk piknik keluarga dan fotografi alam.",
Sapo Juma,https://www.google.com/maps/place/Sapo+Juma/data=!4m7!3m6!1s0x3031ad6384f85c4b:0x6593b5bb185cfed1!8m2!3d2.9099556!4d98.519545!16s%2Fg%2F11f_j7jvpj!19sChIJS1z4hGOtMTAR0f5cGLu1k2U?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPnL6cAXA9r8tYdGb3bHvU8QYC_dkO59VrDfaHc=w163-h92-k-no,4.4,627,"Pangambatan, Merek, Karo Regency, North Sumatra 22173",Open 08.00-16.00,2.9099556,98.519545,Alam,"Trekking, Fotografi, Pemandangan","Sapo Juma adalah taman alam yang memukau di Kabupaten Karo, Sumatera Utara. Dikenal karena keindahan alamnya yang menakjubkan, tempat ini menawarkan kesempatan bagi pengunjung untuk menikmati keindahan hutan tropis dan danau yang tenang. Dikelilingi oleh flora dan fauna yang beragam, Sapo Juma adalah surga bagi pecinta alam dan fotografer.",
Caldera toba nomadic escape (glamour camping),https://www.google.com/maps/place/Caldera+toba+nomadic+escape+%28glamour+camping%29/data=!4m7!3m6!1s0x3031ef586f60ca0d:0xb805f2c3eaeeda0!8m2!3d2.6078521!4d98.9460998!16s%2Fg%2F11rfby_56q!19sChIJDcpgb1jvMTARoO2uPixfgAs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNLlT7-TgEjMhcHuNh0thJ283E4rF_sQjX_VGKN=w80-h120-k-no,4.5,232,"JW5W+4CX, Pardamean Sibisa, Ajibata, Toba, North Sumatra 22386",Open 07.00-18.00,2.6078521,98.9460998,Alam,"Camping, Pemandangan, Fotografi",Caldera Toba Nomadic Escape menawarkan pengalaman glamping yang unik dengan pemandangan spektakuler Danau Toba dari ketinggian. Fasilitas modern seperti kafe dan spot foto tersedia untuk kenyamanan pengunjung. Tempat ini ideal bagi mereka yang ingin merasakan kedekatan dengan alam tanpa mengorbankan kenyamanan,
Kebun Teh Sidamanik,https://www.google.com/maps/place/Kebun+Teh+Sidamanik/data=!4m7!3m6!1s0x3031977df352f595:0x24df9157c14bb186!8m2!3d2.8535902!4d98.9002045!16s%2Fg%2F11jlkxq8rz!19sChIJlfVS832XMTARhrFLwVeR3yQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPKEhKmkxdxUXt3HmSzNjBPVVmZGouk8xj0w24w=w158-h92-k-no,4.6,519,"VW32+C3P, Jl. Pematang Purba - Parapat, Ambarisan, Kec. Sidamanik, Kabupaten Simalungun, Sumatera Utara 21171",Open 24 hours,2.8535902,98.9002045,Alam,"Eksplorasi, Fotografi","Kebun Teh Sidamanik adalah destinasi agrowisata yang menawarkan pemandangan hamparan kebun teh yang hijau dan sejuk. Pengunjung dapat berjalan-jalan di antara tanaman teh, belajar tentang proses produksi teh, dan menikmati udara segar pegunungan. Tempat ini juga populer untuk fotografi karena lanskapnya yang indah.",
WISATA INDAH SIPPAN (WIS) JUMA REBEN 2,https://www.google.com/maps/place/WISATA+INDAH+SIPPAN+%28WIS%29+JUMA+REBEN+2/data=!4m7!3m6!1s0x3031ad29867d7683:0xaeb1aa7a6f8c1cff!8m2!3d2.9064567!4d98.565474!16s%2Fg%2F11mtd759pc!19sChIJg3Z9himtMTAR_xyMb3qqsa4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPaFkHqQBOzJKACVmNfcfPH3AItmYfyu6xhUyRA=w163-h92-k-no,4.6,87,"Unnamed Road, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 24 hours,2.9064567,98.565474,Alam,"Pemandangan, Piknik, Fotografi","WISATA INDAH SIPPAN (WIS) JUMA REBEN 2 adalah destinasi wisata yang menawarkan keindahan alam yang asri dan tenang. Terletak di daerah Naga Saribu, tempat ini cocok untuk pengunjung yang ingin bersantai dan menikmati suasana alam yang damai.",
Desa Wisata river side Juma Bulu,https://www.google.com/maps/place/Desa+Wisata+river+side+Juma+Bulu/data=!4m7!3m6!1s0x3031ef7577e29429:0x8413d1ccbe3452c0!8m2!3d2.6477007!4d98.9408812!16s%2Fg%2F11kpbcvpym!19sChIJKZTid3XvMTARwFI0vszRE4Q?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNjiqeSTW9lRcmC_pcHjvu5Y_eJylOhW2k6f-Fx=w122-h92-k-no,5,8,"Unnamed Road, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",Open 24 hours,2.6477007,98.9408812,Alam,"Aktivitas Air, Arum Jeram, Pemandangan","Desa Wisata River Side Juma Bulu menawarkan pengalaman wisata alam dengan kegiatan river tubing yang menyenangkan. Dikelilingi oleh persawahan yang hijau dan udara yang sejuk, desa ini juga memberikan kesempatan bagi pengunjung untuk berinteraksi dengan budaya lokal dan menikmati keindahan alam sekitar.",
Paepira Lakeside,https://www.google.com/maps/place/Paepira+Lakeside/data=!4m7!3m6!1s0x3031b32b81715411:0x9fecb9b80d65ae58!8m2!3d2.8831165!4d98.5517443!16s%2Fg%2F11rtr9nnf0!19sChIJEVRxgSuzMTARWK5lDbi57J8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipP24CA1uQCrfsPvMPqhaYqK_iiFnVgFRbv1nxli=w138-h92-k-no,4.8,348,"Sibolangit, Merek, Karo Regency, North Sumatra 21167",Open 24 hours,2.8831165,98.5517443,Alam,"Pemandangan, Santai, Fotografi","Paepira Lakeside adalah tempat wisata yang menawarkan pemandangan indah Danau Toba dari sisi Sibolangit. Dengan suasana yang tenang dan fasilitas yang memadai, tempat ini cocok untuk bersantai dan menikmati keindahan alam.",
Menara Pandang Tele,https://www.google.com/maps/place/Menara+Pandang+Tele/data=!4m7!3m6!1s0x3031d060f0e3180b:0xb561ba45f008aa18!8m2!3d2.5520625!4d98.6398125!16s%2Fg%2F11c55sb9rm!19sChIJCxjj8GDQMTARGKoI8EW6YbU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOlwbqH86VQ-sDXPKxUujIIDDQWV4jpCR1imORE=w122-h92-k-no,4.5,942,"Tele Desa Partungkotnaginjang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396",Open 08.00-16.00,2.5520625,98.6398125,Alam,"Pemandangan, Fotografi","Menara Pandang Tele adalah titik observasi yang menawarkan pemandangan spektakuler Danau Toba dari ketinggian. Terletak di atas bukit, menara ini memberikan perspektif luas yang mencakup pegunungan, air terjun, dan danau, menjadikannya tempat favorit bagi fotografer dan pecinta alam.",
Lake Above The Lake (Danau di atas Danau,https://www.google.com/maps/place/Lake+Above+The+Lake+%28Danau+di+atas+Danau/data=!4m7!3m6!1s0x3031c5f37e882267:0x2962664a6635e8f1!8m2!3d2.6014763!4d98.7469027!16s%2Fg%2F11j38pjt4b!19sChIJZyKIfvPFMTAR8eg1ZkpmYik?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOwj784rnu0jO8agSddC9cRU6DtchhlcOGmHaS8=w80-h106-k-no,4.4,8,"JP2W+HQR, Salaon Toba, Ronggur Nihuta, Samosir Regency, North Sumatra 22392",Open 08.00-16.00,2.6014763,98.7469027,Alam,"Pemandangan, Fotografi, Eksplorasi","Lake Above The Lake, atau Danau di atas Danau, adalah keajaiban alam yang terletak di Kabupaten Samosir. Danau ini menawarkan pemandangan yang memukau dan suasana yang tenang, cocok bagi mereka yang ingin merasakan kedamaian alam dan keindahan yang belum banyak terjamah.",
"Patung Yesus, Bukit Sibea-bea","https://www.google.com/maps/place/Patung+Yesus,+Bukit+Sibea-bea/data=!4m7!3m6!1s0x3031dbcd53043ca1:0xe50244473f96373d!8m2!3d2.5507063!4d98.6723867!16s%2Fg%2F11n76hj3vv!19sChIJoTwEU83bMTARPTeWP0dEAuU?authuser=0&hl=en&rclk=1 ",https://lh3.googleusercontent.com/p/AF1QipMijzY5f6Z-utKgg9DscWtXuV02heORswboNijx=w163-h92-k-no,4.7,433,"Turpuk Sihotang, Harian, Samosir Regency, North Sumatra 22396",Open 08.00-16.00,2.5507063,98.6723867,Religi,"Pemandangan, Fotografi",Patung Yesus di Bukit Sibea-bea adalah ikon wisata religi yang terletak di puncak bukit dengan pemandangan Danau Toba yang menakjubkan. Patung ini menjadi simbol keagamaan dan juga menarik bagi wisatawan yang ingin menikmati keindahan alam sekitar.,bukan kategori
Batu marhosa,https://www.google.com/maps/place/Batu+marhosa/data=!4m7!3m6!1s0x3031e8503accf529:0xf78f4890dfbf01ba!8m2!3d2.6041291!4d98.8680224!16s%2Fg%2F11c1r0fnsj!19sChIJKfXMOlDoMTARugG_35BIj_c?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM-3l7y-tMR3ZR-RBGv5wJ-_K5z6Dy-SUSAttKX=w122-h92-k-no,4.3,70,"JV39+M62, Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 08.00-16.00,2.6041291,98.8680224,Alam,"Santai, Fotografi","Batu Marhosa adalah batu unik yang terletak di puncak tebing Pulau Samosir, Desa Parmonangan Huta Sorsortolong, Kecamatan Simanindo. Batu ini dikenal karena dapat mengeluarkan angin secara alami, sebuah fenomena yang menarik perhatian wisatawan dan masyarakat lokal. Lokasinya yang berada di ketinggian menawarkan pemandangan indah Danau Toba dan sekitarnya, menjadikannya tempat yang cocok untuk relaksasi dan menikmati keajaiban alam.",
